tweet_id,clean_text,candidate_intent,golden_intent,expected_action,escalation_reason,author_id,review_status
2369428,also the details in the report say: APPLICATION NAME cloudos ERROR authDidNotConnect-loginDidFail but I haven't changed the password .. and was using the autofill feature of Safari .. I did update my iPhone to 11.1.1 yesterday though and it seems to be fine,app_issues,app_issues,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2520758,"updated my iPhone and now all my iTunes music is edited, all explicit is gone. Why???",app_store_itunes,app_store_itunes,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
1261295,my idevice keep searching for network and sometimes turned no service after 11.0.3 update. Pls help me out 😔,device_hardware,device_hardware,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
933315,"You should be embarrassed about the new Podcast app update, which makes the app unusable. The new version of the podcast app 1/",apple_music_media,apple_music_media,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
495155,"Seems like some extension I have installed it blocking the two-factor authentication screen from appearing. I was able to login to the website after opening an Incognito Window (which loads a browser window without the extensions) Like a ""Safe Mode""",apple_id_icloud,apple_id_icloud,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2590426,I was speaking with a rep about iCloud photo downloading issues. This rep decided to just drop me mid conversation. Can I please have some real help?,apple_id_icloud,apple_id_icloud,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
150046,can you help me with my nan to find her email address for ICloud as she’s lost all of her photos and she’s really really upset about it 😭,apple_id_icloud,apple_id_icloud,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2947010,"Not intentionally, it might have tried to sync automatically with my computer but that’s on a different Apple ID",apple_id_icloud,apple_id_icloud,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2652650,I hate music. Never works right,apple_music_media,apple_music_media,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
1698580,The reason why I becomes I️. turned the letter I into a fuckin emoji so when you type it your keyboard gets confused,screen_display_keyboard,screen_display_keyboard,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
483250,hi I can’t get my phone to update the apps it keeps saying payment declined even though there are funds available please help,billing_payment_purchase,billing_payment_purchase,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
1908217,Since released the 8/X/iOS 11. My iPhone6s has been crashing non stop and draining battery life like you read about 🤔 #thefixisin,battery_charging,battery_charging,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
1203532,iOS 11.1 (15B92) still won’t download apps,app_store_itunes,app_store_itunes,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2309374,help! I accidentally started updating my phone without connecting it to wifi first. it has been updating for 2.5 hours now. What do I do?,device_hardware,device_hardware,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2123836,No. It’s happened consistently regardless of hat I️ do since the most recent software update. My battery used o last until bedtime. My phone has died by noon everyday this week. Terrible.,battery_charging,battery_charging,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
1153853,. order fails to arrive as promised. Possibly because they are STILL using the wrong address after THREE corrections. Pshaw!,orders_products_warranty,orders_products_warranty,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
946670,"my AppStore is not working, it doesn’t download apps since I updated iOS.",app_store_itunes,app_store_itunes,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
1581440,When your phone battery drops 25% in 10 mins because #ios11 is fucking terrible,battery_charging,battery_charging,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
590921,After update IOS 11.2 application crash,app_issues,app_issues,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2512315,"I'm afraid it happens with pretty much every application I use: Google Chrome, the Microsoft Office Suite, Spotify, Whatsapp, Finder and Calendar. :(",app_issues,app_issues,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
1134162,Im having trouble downloading apps it ask me to review my id then its just a white screen,screen_display_keyboard,screen_display_keyboard,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
1279926,"We have a dead Iphone7 after the recent update, know one knows why or how &amp; of course it’s past it’s warranty!",orders_products_warranty,orders_products_warranty,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
328555,why is it my music app won’t work? 6 running 11.0.2. Suddenly started crashing this AM while in use/DLing. Restarted phone. No joy.,apple_music_media,apple_music_media,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
242621,"Yep I’ve done that about 3 times. Left it off for 10 minutes turned it back on, reset all my settings. Deleted the network added it again..",connectivity,connectivity,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2121093,this update pissing me off man phones cost too much to be tripping like this,device_hardware,device_hardware,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
1151865,how many iPhone X can I preorder on Friday?,orders_products_warranty,orders_products_warranty,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2025772,is there an update coming soon to fix the question mark box? It’s so annoying. And my WiFi turning on by itself also.,connectivity,connectivity,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2210633,Thank you. Can you recommend a website to purchase at good value #airpods #apple #iphone8,billing_payment_purchase,billing_payment_purchase,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
902687,I dont tweet often... any danger of you lot sorting these software updates out? I cant speak on the phone music hay wire!! 😡😡😡,apple_music_media,apple_music_media,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
962687,hello why does apple music keep asking for permission to trust my phone whenever i open the app?,apple_music_media,apple_music_media,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2297349,"I have the High Sierra version ! It doesn’t crash the application it just ends the call. Now if I don’t open iTunes i can’t forward or rewind a song, I have to be on the app then exit .. it’s just all malfunctioning",app_issues,app_issues,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
114457,My brand new iPhone X won’t connect to ANY of my devices over bluetooth.,connectivity,connectivity,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2029757,hi i’m trying to to sign in with my apple id but it’s saying that it can’t connect to the server help me out,apple_id_icloud,apple_id_icloud,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
1769331,"i rec’d email from Itunes confirming purchase i didn’t make. i think it’s a scam email, where can i forward to find out?",app_store_itunes,app_store_itunes,ESCALATE,legal_or_serious,,VERIFIED_RULE_ASSISTED
58832,Did remove #voicemail transcription in iOS 11? It was so useful. I can't seem to get it to appear again. Anyone know how to fix it?,ios_update,ios_update,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
484523,"Since my last #macos update I can't login if the laptop is connected to internet is looking like the ""Windows 95"" way of doing things.",apple_id_icloud,apple_id_icloud,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2676074,"since software upgrade, have to turn phone off and on again to get speaker to work, speaker-phone to work! Screen super buggy!",screen_display_keyboard,screen_display_keyboard,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
1858231,pressed the link for 3 months free trail. Already charged me???,billing_payment_purchase,billing_payment_purchase,ESCALATE,refund_or_charge,,VERIFIED_RULE_ASSISTED
2061365,"Wirelessly it charges to 100% but through wired connection it only goes to 80%, but after restart it will go up but never to 100%",billing_payment_purchase,billing_payment_purchase,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
1223952,"The latest update has my iPhone 6 acting wonky;phone and apps freeze, time doesn’t show on home screen. Help pls!",screen_display_keyboard,screen_display_keyboard,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
61386,What if that application is removed❓ Like Turbo DL,app_issues,app_issues,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
549606,please stop doing updates when it does nothing but lower your battery and cause other problems . My phone keeps resetting and I know it’s because of this update,device_hardware,device_hardware,AUTO_HANDLE,none,247975.0,VERIFIED_RULE_ASSISTED
1195839,Probably switching providers. Latest update 11.0.3 has MAJORLY slowed down my phone. Many silly commands that have no point.,performance,performance,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2771788,What’s going on I’ve been on my phone a whole 21 minutes and lost 12% battery and 3% in one go!! 😣😣,battery_charging,battery_charging,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
599079,"Nope, it doesn't show up in ""Purchased"" on any of my devices, which is odd because it shows up under Movies in iTunes on my Mac.",billing_payment_purchase,billing_payment_purchase,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
2838711,is my phone trippin’ or does the updated podcast app make it hard af to delete episodes?,apple_music_media,apple_music_media,AUTO_HANDLE,none,790016.0,VERIFIED_RULE_ASSISTED
2298609,apps keep crashing after updating ios,ios_update,ios_update,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
667056,Yes Battery stopped Ola ratio 1 long duration I do not know the reason Shipping and cable Original Apple charger! ☺️👇🏼,battery_charging,battery_charging,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED
