tweet_id,clean_text,golden_intent,predicted_intent,confidence
2369428,also the details in the report say: APPLICATION NAME cloudos ERROR authDidNotConnect-loginDidFail but I haven't changed the password .. and was using the autofill feature of Safari .. I did update my iPhone to 11.1.1 yesterday though and it seems to be fine,app_issues,ios_update,0.4310838174439899
2520758,"updated my iPhone and now all my iTunes music is edited, all explicit is gone. Why???",app_store_itunes,apple_music_media,1.0
1261295,my idevice keep searching for network and sometimes turned no service after 11.0.3 update. Pls help me out 😔,device_hardware,connectivity,0.5658172031235785
933315,"You should be embarrassed about the new Podcast app update, which makes the app unusable. The new version of the podcast app 1/",apple_music_media,apple_music_media,1.0
495155,"Seems like some extension I have installed it blocking the two-factor authentication screen from appearing. I was able to login to the website after opening an Incognito Window (which loads a browser window without the extensions) Like a ""Safe Mode""",apple_id_icloud,screen_display_keyboard,0.5738508522797366
2590426,I was speaking with a rep about iCloud photo downloading issues. This rep decided to just drop me mid conversation. Can I please have some real help?,apple_id_icloud,apple_id_icloud,1.0
150046,can you help me with my nan to find her email address for ICloud as she’s lost all of her photos and she’s really really upset about it 😭,apple_id_icloud,apple_id_icloud,1.0
2947010,"Not intentionally, it might have tried to sync automatically with my computer but that’s on a different Apple ID",apple_id_icloud,apple_id_icloud,0.8621772004082632
2652650,I hate music. Never works right,apple_music_media,apple_music_media,1.0
1698580,The reason why I becomes I️. turned the letter I into a fuckin emoji so when you type it your keyboard gets confused,screen_display_keyboard,screen_display_keyboard,1.0
483250,hi I can’t get my phone to update the apps it keeps saying payment declined even though there are funds available please help,billing_payment_purchase,billing_payment_purchase,0.849180187492719
1908217,Since released the 8/X/iOS 11. My iPhone6s has been crashing non stop and draining battery life like you read about 🤔 #thefixisin,battery_charging,battery_charging,0.43265078958005093
1203532,iOS 11.1 (15B92) still won’t download apps,app_store_itunes,app_store_itunes,0.7190418476589349
2309374,help! I accidentally started updating my phone without connecting it to wifi first. it has been updating for 2.5 hours now. What do I do?,device_hardware,connectivity,0.8608047301922707
2123836,No. It’s happened consistently regardless of hat I️ do since the most recent software update. My battery used o last until bedtime. My phone has died by noon everyday this week. Terrible.,battery_charging,battery_charging,0.7028565276317845
1153853,. order fails to arrive as promised. Possibly because they are STILL using the wrong address after THREE corrections. Pshaw!,orders_products_warranty,orders_products_warranty,1.0
946670,"my AppStore is not working, it doesn’t download apps since I updated iOS.",app_store_itunes,app_store_itunes,1.0
1581440,When your phone battery drops 25% in 10 mins because #ios11 is fucking terrible,battery_charging,battery_charging,0.8593225565683628
590921,After update IOS 11.2 application crash,app_issues,ios_update,0.43263100419766237
2512315,"I'm afraid it happens with pretty much every application I use: Google Chrome, the Microsoft Office Suite, Spotify, Whatsapp, Finder and Calendar. :(",app_issues,app_store_itunes,0.28773742438147304
1134162,Im having trouble downloading apps it ask me to review my id then its just a white screen,screen_display_keyboard,apple_id_icloud,0.5749903347596353
