tweet_id,clean_text,candidate_intent,golden_intent,expected_action,escalation_reason,author_id,review_status,predicted_intent,confidence,predicted_action,predicted_escalation_reason
2369428,also the details in the report say: APPLICATION NAME cloudos ERROR authDidNotConnect-loginDidFail but I haven't changed the password .. and was using the autofill feature of Safari .. I did update my iPhone to 11.1.1 yesterday though and it seems to be fine,app_issues,app_issues,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,apple_id_icloud,0.5062030885738866,ESCALATE,low_confidence
2520758,"updated my iPhone and now all my iTunes music is edited, all explicit is gone. Why???",app_store_itunes,app_store_itunes,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,app_store_itunes,0.7586314833913713,AUTO_HANDLE,high_confidence
1261295,my idevice keep searching for network and sometimes turned no service after 11.0.3 update. Pls help me out 😔,device_hardware,device_hardware,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,connectivity,0.9684913211778591,AUTO_HANDLE,high_confidence
933315,"You should be embarrassed about the new Podcast app update, which makes the app unusable. The new version of the podcast app 1/",apple_music_media,apple_music_media,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,apple_music_media,0.9305608387096702,AUTO_HANDLE,high_confidence
495155,"Seems like some extension I have installed it blocking the two-factor authentication screen from appearing. I was able to login to the website after opening an Incognito Window (which loads a browser window without the extensions) Like a ""Safe Mode""",apple_id_icloud,apple_id_icloud,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,screen_display_keyboard,0.5073443161068091,ESCALATE,low_confidence
2590426,I was speaking with a rep about iCloud photo downloading issues. This rep decided to just drop me mid conversation. Can I please have some real help?,apple_id_icloud,apple_id_icloud,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,apple_id_icloud,0.7270188175387529,AUTO_HANDLE,high_confidence
150046,can you help me with my nan to find her email address for ICloud as she’s lost all of her photos and she’s really really upset about it 😭,apple_id_icloud,apple_id_icloud,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,apple_id_icloud,0.8652736884268589,AUTO_HANDLE,high_confidence
2947010,"Not intentionally, it might have tried to sync automatically with my computer but that’s on a different Apple ID",apple_id_icloud,apple_id_icloud,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,apple_id_icloud,0.8318773094789714,AUTO_HANDLE,high_confidence
2652650,I hate music. Never works right,apple_music_media,apple_music_media,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,apple_music_media,0.8983948112299065,AUTO_HANDLE,high_confidence
1698580,The reason why I becomes I️. turned the letter I into a fuckin emoji so when you type it your keyboard gets confused,screen_display_keyboard,screen_display_keyboard,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,screen_display_keyboard,0.797521555154235,AUTO_HANDLE,high_confidence
483250,hi I can’t get my phone to update the apps it keeps saying payment declined even though there are funds available please help,billing_payment_purchase,billing_payment_purchase,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,billing_payment_purchase,0.6682917420814143,AUTO_HANDLE,high_confidence
1908217,Since released the 8/X/iOS 11. My iPhone6s has been crashing non stop and draining battery life like you read about 🤔 #thefixisin,battery_charging,battery_charging,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,battery_charging,0.8341462446084259,AUTO_HANDLE,high_confidence
1203532,iOS 11.1 (15B92) still won’t download apps,app_store_itunes,app_store_itunes,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,ios_update,0.7262307719726526,AUTO_HANDLE,high_confidence
2309374,help! I accidentally started updating my phone without connecting it to wifi first. it has been updating for 2.5 hours now. What do I do?,device_hardware,device_hardware,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,connectivity,0.6564180516256927,AUTO_HANDLE,high_confidence
2123836,No. It’s happened consistently regardless of hat I️ do since the most recent software update. My battery used o last until bedtime. My phone has died by noon everyday this week. Terrible.,battery_charging,battery_charging,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,battery_charging,0.7657820574629982,AUTO_HANDLE,high_confidence
1153853,. order fails to arrive as promised. Possibly because they are STILL using the wrong address after THREE corrections. Pshaw!,orders_products_warranty,orders_products_warranty,AUTO_HANDLE,none,,VERIFIED_RULE_ASSISTED,orders_products_warranty,0.801942934625732,AUTO_HANDLE,high_confidence
